metric,band,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
aec_theta_auc_gcc,theta,total,0.0487707484958171,-0.270920707716504,0.358772320664801,0.768116672030895,41,0.768116672030895,global,closed_aec
aec_theta_auc_gcc,theta,social,0.119805926518687,-0.203405556739985,0.419471738490619,0.467551917225627,41,0.593847935049565,global,closed_aec
aec_theta_auc_gcc,theta,switching,-0.126630906885174,-0.425165904126051,0.19675278618333,0.442379950171194,41,0.593847935049565,global,closed_aec
aec_theta_auc_gcc,theta,detail,-0.160406282033023,-0.453001522958016,0.163385400797328,0.329321886288837,41,0.593847935049565,global,closed_aec
aec_theta_auc_gcc,theta,communication,0.226866562640056,-0.0954913038571894,0.506157507696789,0.164871727029421,41,0.593847935049565,global,closed_aec
aec_theta_auc_gcc,theta,imagination,0.112615533523357,-0.210382383036484,0.413447086148535,0.494873279207971,41,0.593847935049565,global,closed_aec
aec_alpha_auc_gcc,alpha,total,0.0442097822282076,-0.275150801779508,0.354783302607287,0.789286002836575,41,0.874735018036023,global,closed_aec
aec_alpha_auc_gcc,alpha,social,-0.0260882319656584,-0.338821703394624,0.291836453538919,0.874735018036023,41,0.874735018036023,global,closed_aec
aec_alpha_auc_gcc,alpha,switching,-0.0914223052615444,-0.395535235013642,0.230756504685318,0.579908815448712,41,0.874735018036023,global,closed_aec
aec_alpha_auc_gcc,alpha,detail,0.0591289789653303,-0.261267825829762,0.367789757942523,0.720673067689685,41,0.874735018036023,global,closed_aec
aec_alpha_auc_gcc,alpha,communication,0.118080267916506,-0.205082959206433,0.418028255371731,0.474034827695291,41,0.874735018036023,global,closed_aec
aec_alpha_auc_gcc,alpha,imagination,0.113863998082115,-0.209173355712872,0.414495036851862,0.490071594747807,41,0.874735018036023,global,closed_aec
aec_beta_auc_gcc,beta,total,-0.156393782180212,-0.449724257473074,0.167388589561958,0.341721126001258,41,0.870947399131471,global,closed_aec
aec_beta_auc_gcc,beta,social,-0.0268836459556257,-0.339526107934222,0.291108103879692,0.870947399131471,41,0.870947399131471,global,closed_aec
aec_beta_auc_gcc,beta,switching,-0.035912691807151,-0.347497562524507,0.282814408190206,0.828171174749497,41,0.870947399131471,global,closed_aec
aec_beta_auc_gcc,beta,detail,-0.0728908189955184,-0.379681107024179,0.248343205666374,0.659227333371706,41,0.870947399131471,global,closed_aec
aec_beta_auc_gcc,beta,communication,-0.100641355023742,-0.403355418222583,0.221928348793091,0.542121962782738,41,0.870947399131471,global,closed_aec
aec_beta_auc_gcc,beta,imagination,-0.267350427570077,-0.537529544842967,0.0526099437828957,0.0998900455320151,41,0.599340273192091,global,closed_aec
aec_gamma_auc_gcc,gamma,total,0.196206523021383,-0.127189953365782,0.481895973376856,0.231259062162232,41,0.693777186486697,global,closed_aec
aec_gamma_auc_gcc,gamma,social,-0.0637616032980389,-0.371804025184223,0.256929823011371,0.699771775360401,41,0.839726130432481,global,closed_aec
aec_gamma_auc_gcc,gamma,switching,0.104474068316116,-0.218242515538451,0.406593607542717,0.526767145288834,41,0.839726130432481,global,closed_aec
aec_gamma_auc_gcc,gamma,detail,0.431067581676882,0.133734564482107,0.657202886113809,0.00614981046115524,41,0.0368988627669314,global,closed_aec
aec_gamma_auc_gcc,gamma,communication,0.0748602506881141,-0.246484184167722,0.381374604345918,0.65060045646757,41,0.839726130432481,global,closed_aec
aec_gamma_auc_gcc,gamma,imagination,-0.00745709092347293,-0.322221398953507,0.308791915489387,0.964063528256399,41,0.964063528256399,global,closed_aec
aec_theta_auc_geff,theta,total,-0.109041930504411,-0.410443021594244,0.213837647982872,0.508749702122072,41,0.71895572452404,global,closed_aec
aec_theta_auc_geff,theta,social,-0.0655126523763098,-0.373318352067414,0.255286763237296,0.691926939597255,41,0.71895572452404,global,closed_aec
aec_theta_auc_geff,theta,switching,0.0595078923546518,-0.260913495561709,0.368118526983412,0.71895572452404,41,0.71895572452404,global,closed_aec
aec_theta_auc_geff,theta,detail,-0.171390340709601,-0.461932634292685,0.152372013229898,0.296831206696894,41,0.71895572452404,global,closed_aec
aec_theta_auc_geff,theta,communication,0.0987677055633478,-0.223726846340336,0.401769642029054,0.549705338618546,41,0.71895572452404,global,closed_aec
aec_theta_auc_geff,theta,imagination,-0.279238483505763,-0.546602015840308,0.0397896829889429,0.0851531265191393,41,0.510918759114836,global,closed_aec
aec_alpha_auc_geff,alpha,total,0.0731019362501896,-0.248144037227324,0.379862743374462,0.658300450007396,41,0.789960540008876,global,closed_aec
aec_alpha_auc_geff,alpha,social,0.00142098072724823,-0.314242366456052,0.316801398599655,0.993150010109269,41,0.993150010109269,global,closed_aec
aec_alpha_auc_geff,alpha,switching,0.247361388468243,-0.0739312601077679,0.522132415835793,0.128959939256827,41,0.397623130337378,global,closed_aec
aec_alpha_auc_geff,alpha,detail,0.0784932431997783,-0.243048648401815,0.384493194496037,0.634804389719393,41,0.789960540008876,global,closed_aec
aec_alpha_auc_geff,alpha,communication,-0.245141437993283,-0.520411313204165,0.0762811871419823,0.132541043445793,41,0.397623130337378,global,closed_aec
aec_alpha_auc_geff,alpha,imagination,0.110769995557678,-0.212167815119183,0.411896495792367,0.502015252042054,41,0.789960540008876,global,closed_aec
aec_beta_auc_geff,beta,total,0.190733438783064,-0.132779796256018,0.477518505157803,0.244792408841851,41,0.607916045830106,global,closed_aec
aec_beta_auc_geff,beta,social,0.238151521955313,-0.0836571095863332,0.514977462776449,0.144299014968842,41,0.607916045830106,global,closed_aec
aec_beta_auc_geff,beta,switching,-0.0552755639662648,-0.364441904901491,0.264866341797436,0.738213285930249,41,0.738213285930249,global,closed_aec
aec_beta_auc_geff,beta,detail,0.0682313374108833,-0.252732065915571,0.375666255430021,0.67980983993937,41,0.738213285930249,global,closed_aec
aec_beta_auc_geff,beta,communication,0.115427197651834,-0.207658141678544,0.415806050341503,0.484093474595143,41,0.726140211892714,global,closed_aec
aec_beta_auc_geff,beta,imagination,0.168918159969535,-0.154857827045085,0.45992763555608,0.303958022915053,41,0.607916045830106,global,closed_aec
aec_gamma_auc_geff,gamma,total,-0.15525238095021,-0.448790556810519,0.168525394955607,0.345299862159269,41,0.867549365903633,global,closed_aec
aec_gamma_auc_geff,gamma,social,0.0275977523287002,-0.290453892308861,0.340158209284497,0.867549365903633,41,0.867549365903633,global,closed_aec
aec_gamma_auc_geff,gamma,switching,-0.259487843524536,-0.531494583694586,0.0610315222856075,0.110658950494959,41,0.663953702969756,global,closed_aec
aec_gamma_auc_geff,gamma,detail,-0.0291463745522305,-0.341528024393611,0.28903413659378,0.86018847338439,41,0.867549365903633,global,closed_aec
aec_gamma_auc_geff,gamma,communication,-0.0836670372582956,-0.388922397553193,0.238142091312059,0.612582838185616,41,0.867549365903633,global,closed_aec
aec_gamma_auc_geff,gamma,imagination,-0.104524850461274,-0.406636461553641,0.21819361762265,0.526565138158195,41,0.867549365903633,global,closed_aec
aec_theta_auc_cpl,theta,total,-0.148020665098206,-0.442859863404117,0.175708031566627,0.368502909002845,41,0.896207525870171,global,closed_aec
aec_theta_auc_cpl,theta,social,-0.124293425271193,-0.423218371352755,0.199034645639547,0.450916250741729,41,0.896207525870171,global,closed_aec
aec_theta_auc_cpl,theta,switching,0.0215893065571379,-0.295949128778857,0.334830924290501,0.896207525870171,41,0.896207525870171,global,closed_aec
aec_theta_auc_cpl,theta,detail,-0.0225948420051536,-0.33572386234503,0.29503094290683,0.891401419496694,41,0.896207525870171,global,closed_aec
aec_theta_auc_cpl,theta,communication,-0.0316281411022053,-0.343720477035744,0.286755964347465,0.848416673071114,41,0.896207525870171,global,closed_aec
aec_theta_auc_cpl,theta,imagination,-0.318071167187526,-0.575806492300588,-0.00283302988877065,0.0484603568487782,41,0.290762141092669,global,closed_aec
aec_alpha_auc_cpl,alpha,total,0.00876063647575252,-0.307612114221599,0.323389187547856,0.957786815676966,41,0.95925640875447,global,closed_aec
aec_alpha_auc_cpl,alpha,social,-0.0238984483690641,-0.336880656943224,0.293839705285551,0.885176353071826,41,0.95925640875447,global,closed_aec
aec_alpha_auc_cpl,alpha,switching,0.140662315265102,-0.182981235962679,0.436798718664328,0.393042025821011,41,0.95925640875447,global,closed_aec
aec_alpha_auc_cpl,alpha,detail,-0.043486290149752,-0.354149496146497,0.275820674237618,0.792658206727584,41,0.95925640875447,global,closed_aec
aec_alpha_auc_cpl,alpha,communication,-0.0515352671581693,-0.361184667761362,0.268350714987439,0.755364592787551,41,0.95925640875447,global,closed_aec
aec_alpha_auc_cpl,alpha,imagination,-0.00845538802090594,-0.323115814913695,0.307888472998034,0.95925640875447,41,0.95925640875447,global,closed_aec
aec_beta_auc_cpl,beta,total,-0.195411456098927,-0.481260949089442,0.128003258971656,0.233192715715733,41,0.636080409965502,global,closed_aec
aec_beta_auc_cpl,beta,social,-0.262296284349779,-0.533653389693416,0.0580286437562501,0.106715914080132,41,0.636080409965502,global,closed_aec
aec_beta_auc_cpl,beta,switching,0.0406215807590755,-0.278470031667398,0.35163709692653,0.806046632100904,41,0.806046632100904,global,closed_aec
aec_beta_auc_cpl,beta,detail,-0.0602957611140317,-0.368801884405683,0.260176465613777,0.715389240720014,41,0.806046632100904,global,closed_aec
aec_beta_auc_cpl,beta,communication,-0.093338779557667,-0.397164548766954,0.228925647058549,0.57195695289093,41,0.806046632100904,global,closed_aec
aec_beta_auc_cpl,beta,imagination,-0.164139480301252,-0.45604357996415,0.1596512657789,0.318040204982751,41,0.636080409965502,global,closed_aec
aec_gamma_auc_cpl,gamma,total,0.268310971780404,-0.0515779801191252,0.538264922513725,0.0986314133807332,41,0.224838748554812,global,closed_aec
aec_gamma_auc_cpl,gamma,social,-0.0312736113531048,-0.343407485036962,0.28708163049237,0.850096397329523,41,0.850096397329523,global,closed_aec
aec_gamma_auc_cpl,gamma,switching,0.126075398743865,-0.197295393119815,0.424703318541759,0.444400552372262,41,0.533280662846714,global,closed_aec
aec_gamma_auc_cpl,gamma,detail,0.284879299185104,-0.0336695741709271,0.550885006907678,0.078778815452402,41,0.224838748554812,global,closed_aec
aec_gamma_auc_cpl,gamma,communication,0.177609419358399,-0.146100472279741,0.466963360779865,0.279380585863377,41,0.419070878795066,global,closed_aec
aec_gamma_auc_cpl,gamma,imagination,0.258258410717781,-0.0623442494474368,0.530548423977607,0.112419374277406,41,0.224838748554812,global,closed_aec
aec_theta_auc_sw,theta,total,0.0869715336174789,-0.234999659127083,0.391743958973349,0.598565030405033,41,0.598565030405033,global,closed_aec
aec_theta_auc_sw,theta,social,0.140970542381582,-0.182677284680844,0.437053149075019,0.391995480664649,41,0.558751975972412,global,closed_aec
aec_theta_auc_sw,theta,switching,-0.120320847023482,-0.419902167088113,0.202904667609534,0.465626646643676,41,0.558751975972412,global,closed_aec
aec_theta_auc_sw,theta,detail,-0.123903633974775,-0.422893337783653,0.19941482079293,0.452348381140707,41,0.558751975972412,global,closed_aec
aec_theta_auc_sw,theta,communication,0.213534189952357,-0.109356116217087,0.495661533553075,0.191808339974122,41,0.558751975972412,global,closed_aec
aec_theta_auc_sw,theta,imagination,0.179142014443362,-0.144550942130655,0.468200235001256,0.275185094774446,41,0.558751975972412,global,closed_aec
aec_alpha_auc_sw,alpha,total,0.0498103810857152,-0.269954763486333,0.359680000726491,0.763313826513238,41,0.915976591815886,global,closed_aec
aec_alpha_auc_sw,alpha,social,-0.0152722170790191,-0.3292083081701,0.30170406879797,0.926477826260609,41,0.926477826260609,global,closed_aec
aec_alpha_auc_sw,alpha,switching,-0.0921212750448229,-0.396129694439595,0.230089024906364,0.577002886382065,41,0.915976591815886,global,closed_aec
aec_alpha_auc_sw,alpha,detail,0.0670085287134125,-0.25388167035325,0.374610704826079,0.685250273555622,41,0.915976591815886,global,closed_aec
aec_alpha_auc_sw,alpha,communication,0.120534344666258,-0.202696938072088,0.420080592968136,0.464829626514795,41,0.915976591815886,global,closed_aec
aec_alpha_auc_sw,alpha,imagination,0.103882958420084,-0.218811573609544,0.406094684201705,0.529121318230277,41,0.915976591815886,global,closed_aec
aec_beta_auc_sw,beta,total,-0.130252509832933,-0.428177886042821,0.193210429746433,0.429330975913838,41,0.905490454301968,global,closed_aec
aec_beta_auc_sw,beta,social,0.0196492587851988,-0.297718990370371,0.333106527004195,0.905490454301968,41,0.905490454301968,global,closed_aec
aec_beta_auc_sw,beta,switching,-0.0492833219456791,-0.359219910410901,0.270444545528871,0.765747630298527,41,0.905490454301968,global,closed_aec
aec_beta_auc_sw,beta,detail,-0.0566941681734351,-0.365675320680509,0.263542612920852,0.7317402451129,41,0.905490454301968,global,closed_aec
aec_beta_auc_sw,beta,communication,-0.0950593582262006,-0.398625689735365,0.227279989003652,0.564860531870059,41,0.905490454301968,global,closed_aec
aec_beta_auc_sw,beta,imagination,-0.255425477932435,-0.528365639941867,0.0653648970451085,0.1165563487871,41,0.6993380927226,global,closed_aec
aec_gamma_auc_sw,gamma,total,0.153248356399854,-0.170519268788507,0.447149652293013,0.351638436232851,41,0.820286861276456,global,closed_aec
aec_gamma_auc_sw,gamma,social,-0.0673852777185266,-0.374936006396911,0.253527572285652,0.683572384397047,41,0.820286861276456,global,closed_aec
aec_gamma_auc_sw,gamma,switching,0.0940017694396461,-0.228291744375834,0.397727752089242,0.569217684241088,41,0.820286861276456,global,closed_aec
aec_gamma_auc_sw,gamma,detail,0.421184133121089,0.12185541493813,0.650287851879963,0.00758050510667106,41,0.0454830306400263,global,closed_aec
aec_gamma_auc_sw,gamma,communication,0.0343620386666001,-0.284242169670909,0.346131736367478,0.835486453005348,41,0.835486453005348,global,closed_aec
aec_gamma_auc_sw,gamma,imagination,-0.0842330306130547,-0.389406080694366,0.237604334035409,0.610172014255344,41,0.820286861276456,global,closed_aec
