metric,band,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
dwpli_theta_auc_gcc,theta,total,0.105043525587446,-0.21769409469464,0.407074084734925,0.524504066598604,41,0.839888471003808,global,closed_dwpli
dwpli_theta_auc_gcc,theta,social,-0.0179094837921207,-0.331558355345188,0.299304294378923,0.913825678154812,41,0.913825678154812,global,closed_dwpli
dwpli_theta_auc_gcc,theta,switching,0.0637314672687878,-0.256958084297232,0.371777948849905,0.69990705916984,41,0.839888471003808,global,closed_dwpli
dwpli_theta_auc_gcc,theta,detail,-0.0762426381018232,-0.38256207974688,0.245177882064822,0.644571675250067,41,0.839888471003808,global,closed_dwpli
dwpli_theta_auc_gcc,theta,communication,0.159916563208348,-0.163874555144648,0.452601961479535,0.330820027800426,41,0.839888471003808,global,closed_dwpli
dwpli_theta_auc_gcc,theta,imagination,0.240495594625682,-0.0811875130107785,0.516802190654559,0.140273574655408,41,0.839888471003808,global,closed_dwpli
dwpli_alpha_auc_gcc,alpha,total,-0.169226218639053,-0.460177640585869,0.154548292998867,0.303064056477059,41,0.829487401152293,global,closed_dwpli
dwpli_alpha_auc_gcc,alpha,social,-0.100777066361952,-0.403470207876271,0.221797995522505,0.54157463683485,41,0.829487401152293,global,closed_dwpli
dwpli_alpha_auc_gcc,alpha,switching,-0.247578770360123,-0.522300829354235,0.0737009587002133,0.128613183496411,41,0.771679100978465,global,closed_dwpli
dwpli_alpha_auc_gcc,alpha,detail,-0.0816891651058764,-0.387230837085179,0.240019743831961,0.621038987446136,41,0.829487401152293,global,closed_dwpli
dwpli_alpha_auc_gcc,alpha,communication,-0.0356334656931325,-0.34725171577276,0.28307160951359,0.829487401152293,41,0.829487401152293,global,closed_dwpli
dwpli_alpha_auc_gcc,alpha,imagination,0.0523066553346898,-0.267632792226894,0.361857050148024,0.751817574421074,41,0.829487401152293,global,closed_dwpli
dwpli_beta_auc_gcc,beta,total,-0.0954250444442028,-0.398936037458571,0.226929988786841,0.563357531027195,41,0.790771911883934,global,closed_dwpli
dwpli_beta_auc_gcc,beta,social,-0.114234784504062,-0.414806118390578,0.208814091597184,0.488650166735169,41,0.790771911883934,global,closed_dwpli
dwpli_beta_auc_gcc,beta,switching,-0.204968511386033,-0.488874400171423,0.118198070292242,0.210671161778298,41,0.790771911883934,global,closed_dwpli
dwpli_beta_auc_gcc,beta,detail,-0.043890887502074,-0.354503973926349,0.275446100724548,0.790771911883934,41,0.790771911883934,global,closed_dwpli
dwpli_beta_auc_gcc,beta,communication,0.0682126521215849,-0.252749639418417,0.375650131948971,0.67989285390646,41,0.790771911883934,global,closed_dwpli
dwpli_beta_auc_gcc,beta,imagination,0.106868843634515,-0.215934831441076,0.408613063455402,0.517282411278185,41,0.790771911883934,global,closed_dwpli
dwpli_gamma_auc_gcc,gamma,total,0.0336435005517338,-0.284903283758718,0.345498394578752,0.838880861152231,41,0.93370529701453,global,closed_dwpli
dwpli_gamma_auc_gcc,gamma,social,-0.140778939645102,-0.436894993472377,0.182866236712878,0.39264585213447,41,0.93370529701453,global,closed_dwpli
dwpli_gamma_auc_gcc,gamma,switching,0.109874327859413,-0.213033536157897,0.411143341603764,0.505500106372819,41,0.93370529701453,global,closed_dwpli
dwpli_gamma_auc_gcc,gamma,detail,0.131507615191385,-0.191980817356993,0.429220178522578,0.424859291313578,41,0.93370529701453,global,closed_dwpli
dwpli_gamma_auc_gcc,gamma,communication,0.0211480575670729,-0.29635186186962,0.334438907594108,0.89831770479942,41,0.93370529701453,global,closed_dwpli
dwpli_gamma_auc_gcc,gamma,imagination,-0.0137674011511908,-0.327865633881648,0.303071575006496,0.93370529701453,41,0.93370529701453,global,closed_dwpli
dwpli_theta_auc_geff,theta,total,0.186330090245189,-0.137262192500779,0.473986264619127,0.256060055695038,41,0.699540005301755,global,closed_dwpli
dwpli_theta_auc_geff,theta,social,0.184575943327934,-0.139044145665749,0.472576554664244,0.260643391498631,41,0.699540005301755,global,closed_dwpli
dwpli_theta_auc_geff,theta,switching,0.113576118278804,-0.209452229435801,0.414253463659095,0.491176664925942,41,0.736764997388914,global,closed_dwpli
dwpli_theta_auc_geff,theta,detail,0.0125879652218925,-0.304142479732091,0.326812392633077,0.939373696427251,41,0.939373696427251,global,closed_dwpli
dwpli_theta_auc_geff,theta,communication,0.0491787934738352,-0.270541661395712,0.359128645557703,0.766230576355718,41,0.919476691626862,global,closed_dwpli
dwpli_theta_auc_geff,theta,imagination,0.153836783636738,-0.169934096864816,0.447631664458835,0.349770002650878,41,0.699540005301755,global,closed_dwpli
dwpli_alpha_auc_geff,alpha,total,-0.1190916769723,-0.418874465044013,0.204100063296561,0.470229460533172,41,0.768137199217924,global,closed_dwpli
dwpli_alpha_auc_geff,alpha,social,-0.082669703439451,-0.388069692394858,0.239089190564959,0.616840725533315,41,0.768137199217924,global,closed_dwpli
dwpli_alpha_auc_geff,alpha,switching,0.025633152475794,-0.292252997816407,0.338418535324127,0.876903268741919,41,0.876903268741919,global,closed_dwpli
dwpli_alpha_auc_geff,alpha,detail,-0.0772680007502712,-0.383442216472913,0.244208199930072,0.640114332681604,41,0.768137199217924,global,closed_dwpli
dwpli_alpha_auc_geff,alpha,communication,-0.101402838051152,-0.403999385414178,0.221196780959758,0.539054316708874,41,0.768137199217924,global,closed_dwpli
dwpli_alpha_auc_geff,alpha,imagination,-0.115828469595554,-0.416142385099977,0.207268937346786,0.482565037000228,41,0.768137199217924,global,closed_dwpli
