metric,band,aqvar,r,ci_lo,ci_hi,p,n,q4,level,cond_conn
aec_theta_auc_gcc,theta,total,-0.0283664150332596,-0.349181464069826,0.298400830994353,0.867639688285494,39,0.867639688285494,global,open_aec
aec_theta_auc_gcc,theta,social,-0.160090633883631,-0.460240942068355,0.172902930570081,0.343896659406273,39,0.611279894049773,global,open_aec
aec_theta_auc_gcc,theta,switching,0.186616765696013,-0.146251340475777,0.481524279537245,0.268754770510415,39,0.611279894049773,global,open_aec
aec_theta_auc_gcc,theta,detail,0.140306284641209,-0.19246836273236,0.444139054869657,0.407519929366515,39,0.611279894049773,global,open_aec
aec_theta_auc_gcc,theta,communication,-0.21180252732816,-0.501415309988945,0.120491209948973,0.208225120579638,39,0.611279894049773,global,open_aec
aec_theta_auc_gcc,theta,imagination,-0.0422376110166674,-0.361317137295239,0.285696964266556,0.803968957484553,39,0.867639688285494,global,open_aec
aec_alpha_auc_gcc,alpha,total,-0.22127590462109,-0.508818723561114,0.110684568664122,0.188121584342137,39,0.351666974515876,global,open_aec
aec_alpha_auc_gcc,alpha,social,-0.200355400267979,-0.492412472242744,0.132255131582697,0.234444649677251,39,0.351666974515876,global,open_aec
aec_alpha_auc_gcc,alpha,switching,0.0518891237438493,-0.276789149107456,0.369697786486818,0.760364972660271,39,0.785998539786917,global,open_aec
aec_alpha_auc_gcc,alpha,detail,0.0461978284774544,-0.282048744269841,0.364762140825101,0.785998539786917,39,0.785998539786917,global,open_aec
aec_alpha_auc_gcc,alpha,communication,-0.267112872779054,-0.544049315366903,0.0623041408690473,0.109996215074507,39,0.329988645223521,global,open_aec
aec_alpha_auc_gcc,alpha,imagination,-0.310013920414903,-0.576161773880136,0.0155751574919173,0.0618570143710202,39,0.329988645223521,global,open_aec
aec_beta_auc_gcc,beta,total,-0.028852563555036,-0.349608614711226,0.297957543510265,0.865391806046471,39,0.925383486709399,global,open_aec
aec_beta_auc_gcc,beta,social,-0.0159429759869213,-0.338220279166893,0.309681331940678,0.925383486709399,39,0.925383486709399,global,open_aec
