quantity,band,aqvar,node,roi,r,ci_lo,ci_hi,p,n,q4,level
auc_degree,theta,total,1,7Networks_LH_Vis_1,-0.0152980047015723,-0.329231306156736,0.301680622842462,0.926354020088414,41,0.962621354468766,node
auc_degree,theta,social,1,7Networks_LH_Vis_1,0.158866777741071,-0.164922594348078,0.451745045560515,0.33404573506109,41,0.799798909022216,node
auc_degree,theta,switching,1,7Networks_LH_Vis_1,0.0335366474498944,-0.285001571511942,0.345404186668064,0.839385887391895,41,0.940850115538168,node
auc_degree,theta,detail,1,7Networks_LH_Vis_1,-0.127469891946953,-0.425864252549654,0.195932910152034,0.439337806181007,41,0.800222432686834,node
auc_degree,theta,communication,1,7Networks_LH_Vis_1,-0.0269475247564529,-0.339582662660409,0.291049594944697,0.870643341650228,41,0.944740647322588,node
auc_degree,theta,imagination,1,7Networks_LH_Vis_1,-0.158619338252099,-0.451542987622147,0.165169515797929,0.334808871995834,41,0.799798909022216,node
auc_degree,theta,total,2,7Networks_LH_Vis_2,-0.00288211114897917,-0.318115282604103,0.312924909823678,0.986106983857306,41,0.993233999560351,node
auc_degree,theta,social,2,7Networks_LH_Vis_2,-0.121711951852742,-0.421064335840472,0.201550623515836,0.460446536380044,41,0.808702445059974,node
auc_degree,theta,switching,2,7Networks_LH_Vis_2,0.0945398435318594,-0.227777076123432,0.398184672486209,0.566998954290145,41,0.87854921226196,node
auc_degree,theta,detail,2,7Networks_LH_Vis_2,0.0941822539535874,-0.228119130884076,0.39788103226568,0.568473019698915,41,0.87854921226196,node
auc_degree,theta,communication,2,7Networks_LH_Vis_2,-0.0287380186219861,-0.341166946867796,0.289408647661416,0.862128361490902,41,0.944740647322588,node
auc_degree,theta,imagination,2,7Networks_LH_Vis_2,-0.0455678400598557,-0.355972242402486,0.273892554776558,0.782966335320451,41,0.940850115538168,node
auc_degree,theta,total,3,7Networks_LH_Vis_3,-0.0613789633356328,-0.369740854982813,0.259162549152684,0.710495578497367,41,0.925926119481022,node
auc_degree,theta,social,3,7Networks_LH_Vis_3,0.0340226692028987,-0.284554455215501,0.345832640999248,0.837089288247924,41,0.940850115538168,node
auc_degree,theta,switching,3,7Networks_LH_Vis_3,0.0416304866582517,-0.277537522989459,0.352522436078377,0.80132500698247,41,0.940850115538168,node
auc_degree,theta,detail,3,7Networks_LH_Vis_3,-0.0272626737679579,-0.33986164492835,0.290760903593586,0.869143529165081,41,0.944740647322588,node
auc_degree,theta,communication,3,7Networks_LH_Vis_3,-0.0678790413375382,-0.375362228858822,0.253063364511092,0.681375626816758,41,0.925926119481022,node
auc_degree,theta,imagination,3,7Networks_LH_Vis_3,-0.22823904418803,-0.507233323952323,0.0940568749559311,0.162262441544724,41,0.679213549561107,node
auc_degree,theta,total,4,7Networks_LH_Vis_4,-0.155407015036729,-0.448917089704427,0.168371433924632,0.344813687380618,41,0.799798909022216,node
auc_degree,theta,social,4,7Networks_LH_Vis_4,-0.285770857669614,-0.551560674714059,0.0327000697386714,0.0778063270741472,41,0.566874668683072,node
auc_degree,theta,switching,4,7Networks_LH_Vis_4,-0.013641764464011,-0.327753476935604,0.303185688751787,0.934308961690273,41,0.962621354468766,node
auc_degree,theta,detail,4,7Networks_LH_Vis_4,0.236308795878573,-0.0855957414334743,0.513541241366105,0.147522606760173,41,0.679213549561107,node
auc_degree,theta,communication,4,7Networks_LH_Vis_4,-0.234709442155031,-0.512293444000188,0.0872763609305268,0.150362961757432,41,0.679213549561107,node
auc_degree,theta,imagination,4,7Networks_LH_Vis_4,-0.131603513731113,-0.429299784124665,0.191886824868971,0.424518700856706,41,0.799798909022216,node
auc_degree,theta,total,5,7Networks_LH_Vis_5,-0.380234813570982,-0.621227033510856,-0.073534482007056,0.0169511442377074,41,0.464780129953596,node
auc_degree,theta,social,5,7Networks_LH_Vis_5,-0.349225691106621,-0.598770495884459,-0.0378768275275662,0.0293256365797907,41,0.464780129953596,node
auc_degree,theta,switching,5,7Networks_LH_Vis_5,-0.21364853548115,-0.495751904339523,0.109237735982491,0.191564873478627,41,0.720778208058139,node
auc_degree,theta,detail,5,7Networks_LH_Vis_5,0.133608390803632,-0.189920436325809,0.430962978757446,0.417433357532661,41,0.799798909022216,node
auc_degree,theta,communication,5,7Networks_LH_Vis_5,-0.226031571010026,-0.505502576058635,0.0963633285714033,0.166473909206154,41,0.679213549561107,node
auc_degree,theta,imagination,5,7Networks_LH_Vis_5,-0.45248762420024,-0.672060061056272,-0.159776453288227,0.00382549102612534,41,0.195100042332392,node
auc_degree,theta,total,6,7Networks_LH_Vis_6,-0.0837300477143122,-0.388976252969218,0.238082234058442,0.612314248305571,41,0.897268870046276,node
auc_degree,theta,social,6,7Networks_LH_Vis_6,-0.129712176522455,-0.427728926245729,0.193739475442204,0.431264117610018,41,0.799798909022216,node
auc_degree,theta,switching,6,7Networks_LH_Vis_6,0.0397252465018579,-0.279297988600123,0.350850075112417,0.810247127860531,41,0.940850115538168,node
auc_degree,theta,detail,6,7Networks_LH_Vis_6,0.123577936770418,-0.199732408431376,0.422621691064957,0.453546910929997,41,0.808702445059974,node
auc_degree,theta,communication,6,7Networks_LH_Vis_6,-0.0679587306390895,-0.375431005399654,0.252988431421909,0.681021330658243,41,0.925926119481022,node
auc_degree,theta,imagination,6,7Networks_LH_Vis_6,-0.251406273934235,-0.525262626787757,0.0696403565460197,0.122620984444472,41,0.679213549561107,node
auc_degree,theta,total,7,7Networks_LH_Vis_7,-0.00140355732178137,-0.316785723743845,0.314258069275803,0.993233999560351,41,0.993233999560351,node
auc_degree,theta,social,7,7Networks_LH_Vis_7,0.0192108303229265,-0.298118656723265,0.332716542380314,0.907590050009564,41,0.962621354468766,node
auc_degree,theta,switching,7,7Networks_LH_Vis_7,0.0599090916734587,-0.260538231104644,0.368466548601398,0.717138857245105,41,0.925926119481022,node
auc_degree,theta,detail,7,7Networks_LH_Vis_7,0.0343717840667384,-0.284233201019259,0.34614032431284,0.835440435316364,41,0.940850115538168,node
auc_degree,theta,communication,7,7Networks_LH_Vis_7,-0.0523292257757309,-0.361876718879631,0.267611780807182,0.751713865648913,41,0.940850115538168,node
auc_degree,theta,imagination,7,7Networks_LH_Vis_7,-0.108779196115399,-0.410221901695875,0.21409136362954,0.50977756582741,41,0.838666317974126,node
auc_degree,theta,total,8,7Networks_LH_Vis_8,-0.241318140012382,-0.517441901185925,0.0803199835285681,0.138880845770284,41,0.679213549561107,node
auc_degree,theta,social,8,7Networks_LH_Vis_8,-0.204495516771078,-0.488498612311514,0.118684832286186,0.211748947105535,41,0.720778208058139,node
auc_degree,theta,switching,8,7Networks_LH_Vis_8,-0.186973557730036,-0.474503014108063,0.136607999446894,0.254392308726402,41,0.720778208058139,node
auc_degree,theta,detail,8,7Networks_LH_Vis_8,0.140230260414388,-0.18340719307242,0.436441993133828,0.394511741021848,41,0.799798909022216,node
auc_degree,theta,communication,8,7Networks_LH_Vis_8,-0.196132089301941,-0.481836535489027,0.127266113035274,0.231439624959594,41,0.720778208058139,node
