quantity,band,aqvar,node,roi,r,ci_lo,ci_hi,p,n,q4,level
auc_degree,theta,total,1,7Networks_LH_Vis_1,0.124028503323784,-0.208370050275268,0.430742235777304,0.464551368686612,39,0.833881402938482,node
auc_degree,theta,social,1,7Networks_LH_Vis_1,0.0951422382146249,-0.236162808016979,0.406630969125066,0.57538567161063,39,0.889840209453064,node
auc_degree,theta,switching,1,7Networks_LH_Vis_1,0.192615868824002,-0.140156111953817,0.486289933313611,0.253388353476416,39,0.757636026593007,node
auc_degree,theta,detail,1,7Networks_LH_Vis_1,-0.0227581810075133,-0.344244173079582,0.303504444547739,0.893641055898199,39,0.984274784571752,node
auc_degree,theta,communication,1,7Networks_LH_Vis_1,-0.108568986206287,-0.417892462007823,0.223311409364696,0.522414593297582,39,0.864744528909413,node
auc_degree,theta,imagination,1,7Networks_LH_Vis_1,0.202971958397485,-0.129574396921974,0.494475845118335,0.22826320901395,39,0.757636026593007,node
auc_degree,theta,total,2,7Networks_LH_Vis_2,-0.22890539772435,-0.514750386921925,0.102739403050612,0.172957799026491,39,0.757636026593007,node
auc_degree,theta,social,2,7Networks_LH_Vis_2,-0.258699694162504,-0.537655240252432,0.0713016939369604,0.122092161513005,39,0.757636026593007,node
auc_degree,theta,switching,2,7Networks_LH_Vis_2,-0.108402915521483,-0.417753750783308,0.223471071613926,0.523054812527683,39,0.864744528909413,node
auc_degree,theta,detail,2,7Networks_LH_Vis_2,0.118949710863962,-0.213295788757474,0.426534473876171,0.483175283119379,39,0.835319980986045,node
auc_degree,theta,communication,2,7Networks_LH_Vis_2,-0.219335745418324,-0.507305950901807,0.112698258239188,0.192122829986161,39,0.757636026593007,node
auc_degree,theta,imagination,2,7Networks_LH_Vis_2,-0.168131349444897,-0.466729085453603,0.164875363125869,0.319879533316864,39,0.757636026593007,node
auc_degree,theta,total,3,7Networks_LH_Vis_3,-0.217191897094585,-0.505632292019405,0.11492018915553,0.196613320300619,39,0.757636026593007,node
auc_degree,theta,social,3,7Networks_LH_Vis_3,-0.190849518738877,-0.484888567145453,0.141953388426294,0.257850649022413,39,0.757636026593007,node
auc_degree,theta,switching,3,7Networks_LH_Vis_3,-0.0720821148586143,-0.387066173494738,0.257967592827579,0.671593776423125,39,0.918912981529782,node
auc_degree,theta,detail,3,7Networks_LH_Vis_3,0.123300451059444,-0.2090771988937,0.430139864681914,0.467197439207469,39,0.833881402938482,node
auc_degree,theta,communication,3,7Networks_LH_Vis_3,-0.293110750768967,-0.563606686457549,0.0341579205892752,0.0783012190663071,39,0.757636026593007,node
auc_degree,theta,imagination,3,7Networks_LH_Vis_3,-0.200991707947518,-0.492914555849639,0.131603664574493,0.232931087602324,39,0.757636026593007,node
auc_degree,theta,total,4,7Networks_LH_Vis_4,0.0585693079607657,-0.270590448775642,0.375468232860073,0.730597259981895,39,0.931511506476916,node
auc_degree,theta,social,4,7Networks_LH_Vis_4,-0.13165068498111,-0.437032261339637,0.200945791079203,0.437333400376099,39,0.833881402938482,node
auc_degree,theta,switching,4,7Networks_LH_Vis_4,-0.0670476468268325,-0.382756745732719,0.262683698402244,0.693373449135538,39,0.923537523700922,node
