id,cond,aqvar,effect,method,n,B,observed_statistic,exceedances,p_plus_one,tail_probability_wilson95_lo,tail_probability_wilson95_hi,q_BH_seven
open_detail,open,detail,main,paired_delta_R2,39,10000,0.329967093965756,0,9.99900009999e-05,0,0.000383998370676596,0.00034996500349965
open_detail,open,detail,main,partial_F,39,10000,18.3269810245001,0,9.99900009999e-05,0,0.000383998370676596,0.00034996500349965
open_detail,open,detail,interaction,paired_delta_R2,39,10000,0.0103022108161189,4413,0.441355864413559,0.431592332001219,0.451052749407498,0.514915175149152
open_detail,open,detail,interaction,partial_F,39,10000,0.56509364650294,4591,0.459154084591541,0.4493505899161,0.468880821150622,0.535679765356798
open_switching,open,switching,main,paired_delta_R2,39,10000,0.290354961294388,1,0.0001999800019998,1.76526736011223e-05,0.000566268897401338,0.0004666200046662
open_switching,open,switching,main,partial_F,39,10000,16.8911385685909,1,0.0001999800019998,1.76526736011223e-05,0.000566268897401338,0.0004666200046662
open_switching,open,switching,interaction,paired_delta_R2,39,10000,0.0605105464053446,497,0.0497950204979502,0.0456107427311713,0.05413508620146,0.174282571742826
open_switching,open,switching,interaction,partial_F,39,10000,3.80195492495389,579,0.057994200579942,0.0534899178579324,0.0626496135014199,0.201813152018132
open_communication,open,communication,main,paired_delta_R2,39,10000,0.343704680913368,2,0.0002999700029997,5.48489273208578e-05,0.000728995844007467,0.000524947505249475
open_communication,open,communication,main,partial_F,39,10000,18.5739758796915,2,0.0002999700029997,5.48489273208578e-05,0.000728995844007467,0.000524947505249475
open_communication,open,communication,interaction,paired_delta_R2,39,10000,0.143639526104719,41,0.0041995800419958,0.0030238546563457,0.00555699492769134,0.0293970602939706
open_communication,open,communication,interaction,partial_F,39,10000,9.68953030699811,40,0.0040995900409959,0.00293901373773154,0.00544191264597964,0.0286971302869713
closed_detail,closed,detail,main,paired_delta_R2,41,10000,0.272890646090377,6,0.0006999300069993,0.000275013476330998,0.00130852409630079,0.0009332400093324
closed_detail,closed,detail,main,partial_F,41,10000,14.4224058313046,10,0.0010998900109989,0.000543285986497246,0.001839944387438,0.0011998800119988
closed_detail,closed,detail,interaction,paired_delta_R2,41,10000,0.0367131315378142,1536,0.153684631536846,0.146666180043832,0.160799854027372,0.268948105189481
closed_detail,closed,detail,interaction,partial_F,41,10000,1.99234657230127,1705,0.170582941705829,0.163255991338532,0.177997063587744,0.298520147985201
closed_switching,closed,switching,main,paired_delta_R2,41,10000,0.31136869252737,0,9.99900009999e-05,0,0.000383998370676596,0.00034996500349965
closed_switching,closed,switching,main,partial_F,41,10000,20.2516932986609,0,9.99900009999e-05,0,0.000383998370676596,0.00034996500349965
closed_switching,closed,switching,interaction,paired_delta_R2,41,10000,0.0452878601671983,793,0.0793920607939206,0.0741641526531918,0.0847589435758954,0.185248141852481
closed_switching,closed,switching,interaction,partial_F,41,10000,3.11384496304538,864,0.0864913508649135,0.081050995377181,0.0920666480750427,0.201813152018132
closed_communication,closed,communication,main,paired_delta_R2,41,10000,0.268620537179308,9,0.000999900009999,0.000473577060585006,0.00170973011302437,0.000999900009999
closed_communication,closed,communication,main,partial_F,41,10000,13.7982037202504,10,0.0010998900109989,0.000543285986497246,0.001839944387438,0.0011998800119988
closed_communication,closed,communication,interaction,paired_delta_R2,41,10000,0.019210548915546,3099,0.30996900309969,0.300910548949397,0.319035447231135,0.433956604339566
closed_communication,closed,communication,interaction,partial_F,41,10000,0.986424241563931,3283,0.328367163283672,0.319163578145397,0.337568286895093,0.45971402859714
closed_imagination,closed,imagination,main,paired_delta_R2,41,10000,0.267340173720885,7,0.0007999200079992,0.00033912633168796,0.00144433444126969,0.0009332400093324
closed_imagination,closed,imagination,main,partial_F,41,10000,14.4536499889038,11,0.0011998800119988,0.000614350654230322,0.00196880292003079,0.0011998800119988
closed_imagination,closed,imagination,interaction,paired_delta_R2,41,10000,2.81522810495091e-05,9696,0.96960303969603,0.966050521375295,0.972788827354965,0.96960303969603
closed_imagination,closed,imagination,interaction,partial_F,41,10000,0.00148096753923231,9708,0.970802919708029,0.967314970266826,0.973923456867345,0.970802919708029
